IBXL - Carteira do Dia 29/09/25;;;;
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.273.841.357;2,565
ASAI3;ASSAI;ON      NM;1.344.470.815;0,605
B3SA3;B3;ON  EJ  NM;5.196.371.458;3,309
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,963
BBDC3;BRADESCO;ON      N1;1.467.570.789;1,067
BBDC4;BRADESCO;PN      N1;5.106.488.516;4,343
BBAS3;BRASIL;ON      NM;2.842.496.541;3,027
BRAV3;BRAVA;ON      NM;461.715.081;0,408
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,25
CMIG4;CEMIG;PN      N1;1.904.057.894;1,033
COGN3;COGNA ON;ON      NM;1.810.877.718;0,278
CPLE6;COPEL;PNB     N2;1.671.982.390;1,019
CSAN3;COSAN;ON      NM;1.148.010.756;0,343
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,374
ELET3;ELETROBRAS;ON      N1;1.974.649.558;4,821
EMBR3;EMBRAER;ON      NM;733.564.938;2,855
ENGI11;ENERGISA;UNT     N2;325.503.046;0,789
ENEV3;ENEVA;ON      NM;1.912.620.486;1,535
EQTL3;EQUATORIAL;ON      NM;1.246.479.596;2,205
GGBR4;GERDAU;PN      N1;1.276.025.309;1,021
HAPV3;HAPVIDA;ON      NM;311.257.700;0,549
HYPE3;HYPERA;ON  EJ  NM;293.521.155;0,324
ITSA4;ITAUSA;PN      N1;5.853.286.928;3,208
ITUB4;ITAUUNIBANCO;PN      N1;5.279.280.090;9,832
KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,688
RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,886
LREN3;LOJAS RENNER;ON  EJ  NM;1.000.358.705;0,762
MGLU3;MAGAZ LUIZA;ON      NM;355.414.674;0,192
POMO4;MARCOPOLO;PN      N2;661.573.516;0,289
MBRF3;MARFRIG;ON      NM;708.146.298;0,658
MOTV3;MOTIVA SA;ON      NM;988.559.510;0,702
MULT3;MULTIPLAN;ON  EJ  N2;314.022.221;0,434
NATU3;NATURA;ON      NM;839.505.097;0,38
PETR3;PETROBRAS;ON      N2;3.478.483.761;5,86
PETR4;PETROBRAS;PN      N2;4.410.960.450;6,851
PRIO3;PETRORIO;ON      NM;762.764.253;1,442
RADL3;RAIADROGASIL;ON      NM;1.285.713.898;1,102
RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;2,167
RAIL3;RUMO S.A.;ON      NM;1.215.488.549;0,892
SBSP3;SABESP;ON      NM;683.497.006;4,226
CSNA3;SID NACIONAL;ON;727.975.012;0,28
SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,536
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;1,172
TIMS3;TIM;ON  EJ  NM;804.628.136;0,883
TOTS3;TOTVS;ON  EJ  NM;533.261.054;1,155
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,096
VALE3;VALE;ON      NM;4.267.772.018;11,735
VBBR3;VIBRA;ON      NM;1.112.563.218;1,296
WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,593
Quantidade Teórica Total;;;79.655.365.262;100
Redutor;;;85.167.601,78;
